央视频道,#genre#
四川卫视,http://60.26.18.23:85/tsfile/live/161/1039.m3u8?key=txiptv
重庆卫视,http://60.26.18.23:85/tsfile/live/165/1040.m3u8?key=txiptv
安徽卫视,http://60.26.18.23:85/tsfile/live/169/1041.m3u8?key=txiptv
广西卫视,http://60.26.18.23:85/tsfile/live/173/1042.m3u8?key=txiptv
江西卫视,http://60.26.18.23:85/tsfile/live/177/1043.m3u8?key=txiptv
甘肃卫视,http://60.26.18.23:85/tsfile/live/181/1044.m3u8?key=txiptv
海南卫视,http://60.26.18.23:85/tsfile/live/185/1045.m3u8?key=txiptv
山西卫视,http://60.26.18.23:85/tsfile/live/189/1046.m3u8?key=txiptv
陕西卫视,http://60.26.18.23:85/tsfile/live/193/1047.m3u8?key=txiptv
北京卫视4K,http://182.149.148.252:4022/rtp/239.94.0.111:5140
北京卫视4K,http://182.149.148.252:4022/rtp/239.94.0.112:5140
东方卫视4K,http://182.149.148.252:4022/rtp/239.94.0.119:5140
广东卫视4K,http://182.149.148.252:4022/rtp/239.94.0.114:5140
深圳卫视4K,http://182.149.148.252:4022/rtp/239.94.0.113:5140
湖南卫视4K,http://182.149.148.252:4022/rtp/239.94.0.116:5140
山东卫视4K,http://182.149.148.252:4022/rtp/239.94.0.120:5140
四川卫视4K,http://182.149.148.252:4022/rtp/239.94.0.115:5140
浙江卫视4K,http://182.149.148.252:4022/rtp/239.94.0.118:5140
江苏卫视4K,http://182.149.148.252:4022/rtp/239.94.0.117:5140
重庆卫视,http://182.149.148.252:4022/rtp/239.94.0.82:5140
江苏卫视,http://182.149.148.252:4022/rtp/239.94.0.62:5140
浙江卫视,http://182.149.148.252:4022/rtp/239.94.0.63:5140
东方卫视,http://182.149.148.252:4022/rtp/239.94.0.64:5140
深圳卫视,http://182.149.148.252:4022/rtp/239.94.0.66:5140
北京卫视,http://182.149.148.252:4022/rtp/239.94.0.65:5140
山东卫视,http://182.149.148.252:4022/rtp/239.94.0.69:5140
天津卫视,http://182.149.148.252:4022/rtp/239.94.0.68:5140
贵州卫视,http://182.149.148.252:4022/rtp/239.94.0.83:5140
四川卫视,http://182.149.148.252:4022/rtp/239.94.0.60:5140
四川卫视,http://182.149.148.252:4022/rtp/239.94.0.59:5140
云南卫视,http://182.149.148.252:4022/rtp/239.94.0.90:5140
广西卫视,http://182.149.148.252:4022/rtp/239.94.0.89:5140
黑龙江卫视,http://182.149.148.252:4022/rtp/239.94.0.81:5140
安徽卫视,http://182.149.148.252:4022/rtp/239.94.0.85:5140
江西卫视,http://182.149.148.252:4022/rtp/239.94.0.79:5140
湖北卫视,http://182.149.148.252:4022/rtp/239.94.0.84:5140
陕西卫视,http://182.149.148.252:4022/rtp/239.94.0.92:5140
东南卫视,http://182.149.148.252:4022/rtp/239.94.0.80:5140
吉林卫视,http://182.149.148.252:4022/rtp/239.94.0.91:5140
辽宁卫视,http://182.149.148.252:4022/rtp/239.94.0.101:5140
湖南卫视,http://182.149.148.252:4022/rtp/239.94.0.61:5140
广东卫视,http://182.149.148.252:4022/rtp/239.94.0.67:5140
河南卫视,http://182.149.148.252:4022/rtp/239.94.0.88:5140
河北卫视,http://182.149.148.252:4022/rtp/239.94.0.86:5140
宁夏卫视,http://182.149.148.252:4022/rtp/239.94.0.96:5140
甘肃卫视,http://182.149.148.252:4022/rtp/239.94.0.99:5140
新疆卫视,http://182.149.148.252:4022/rtp/239.94.0.98:5140
西藏卫视,http://182.149.148.252:4022/rtp/239.94.0.97:5140
兵团卫视,http://182.149.148.252:4022/rtp/239.94.0.102:5140
康巴卫视,http://182.149.148.252:4022/rtp/239.94.0.78:5140
九画面卫视1,http://182.149.148.252:4022/rtp/239.94.2.133:5140
九画面卫视1,http://182.149.148.252:4022/rtp/239.94.2.132:5140
九画面卫视2,http://182.149.148.252:4022/rtp/239.94.2.134:5140
九画面卫视2,http://182.149.148.252:4022/rtp/239.94.2.135:5140
九画面卫视3,http://182.149.148.252:4022/rtp/239.94.2.136:5140
九画面卫视3,http://182.149.148.252:4022/rtp/239.94.2.137:5140
九画面卫视4,http://182.149.148.252:4022/rtp/239.94.2.141:5140
九画面卫视4,http://182.149.148.252:4022/rtp/239.94.2.139:5140
九画面卫视5,http://182.149.148.252:4022/rtp/239.94.2.140:5140
重庆卫视SD,http://182.149.148.252:4022/rtp/239.94.2.188:5140
江苏卫视SD,http://182.149.148.252:4022/rtp/239.94.2.168:5140
浙江卫视SD,http://182.149.148.252:4022/rtp/239.94.2.169:5140
东方卫视SD,http://182.149.148.252:4022/rtp/239.94.2.170:5140
深圳卫视SD,http://182.149.148.252:4022/rtp/239.94.2.172:5140
北京卫视SD,http://182.149.148.252:4022/rtp/239.94.2.171:5140
山东卫视SD,http://182.149.148.252:4022/rtp/239.94.2.175:5140
天津卫视SD,http://182.149.148.252:4022/rtp/239.94.2.174:5140
贵州卫视SD,http://182.149.148.252:4022/rtp/239.94.2.189:5140
四川卫视SD,http://182.149.148.252:4022/rtp/239.94.2.165:5140
云南卫视SD,http://182.149.148.252:4022/rtp/239.94.2.196:5140
广西卫视SD,http://182.149.148.252:4022/rtp/239.94.2.195:5140
黑龙江卫视SD,http://182.149.148.252:4022/rtp/239.94.2.187:5140
安徽卫视SD,http://182.149.148.252:4022/rtp/239.94.2.191:5140
山西卫视SD,http://182.149.148.252:4022/rtp/239.94.0.93:5140
山西卫视SD,http://182.149.148.252:4022/rtp/239.94.2.199:5140
江西卫视SD,http://182.149.148.252:4022/rtp/239.94.2.185:5140
湖北卫视SD,http://182.149.148.252:4022/rtp/239.94.2.190:5140
旅游卫视SD,http://182.149.148.252:4022/rtp/239.94.0.100:5140
旅游卫视SD,http://182.149.148.252:4022/rtp/239.94.2.206:5140
陕西卫视SD,http://182.149.148.252:4022/rtp/239.94.2.198:5140
东南卫视SD,http://182.149.148.252:4022/rtp/239.94.2.186:5140
厦门卫视SD,http://182.149.148.252:4022/rtp/239.94.0.104:5140
厦门卫视SD,http://182.149.148.252:4022/rtp/239.94.2.210:5140
吉林卫视SD,http://182.149.148.252:4022/rtp/239.94.2.197:5140
辽宁卫视SD,http://182.149.148.252:4022/rtp/239.94.2.207:5140
内蒙古卫视SD,http://182.149.148.252:4022/rtp/239.94.0.94:5140
内蒙古卫视SD,http://182.149.148.252:4022/rtp/239.94.2.200:5140
湖南卫视SD,http://182.149.148.252:4022/rtp/239.94.2.167:5140
广东卫视SD,http://182.149.148.252:4022/rtp/239.94.2.173:5140
河南卫视SD,http://182.149.148.252:4022/rtp/239.94.2.194:5140
河北卫视SD,http://182.149.148.252:4022/rtp/239.94.2.192:5140
甘肃卫视SD,http://182.149.148.252:4022/rtp/239.94.2.205:5140
青海卫视SD,http://182.149.148.252:4022/rtp/239.94.0.95:5140
青海卫视SD,http://182.149.148.252:4022/rtp/239.94.2.201:5140
三沙卫视SD,http://182.149.148.252:4022/rtp/239.94.0.105:5140
三沙卫视SD,http://182.149.148.252:4022/rtp/239.94.2.211:5140
康巴卫视SD,http://182.149.148.252:4022/rtp/239.94.2.184:5140
安多卫视SD,http://182.149.148.252:4022/rtp/239.94.0.110:5140
安多卫视SD,http://182.149.148.252:4022/rtp/239.94.2.216:5140
延边卫视SD,http://182.149.148.252:4022/rtp/239.94.0.107:5140
延边卫视SD,http://182.149.148.252:4022/rtp/239.94.2.213:5140
山东教育卫视SD,http://182.149.148.252:4022/rtp/239.94.0.106:5140
山东教育卫视SD,http://182.149.148.252:4022/rtp/239.94.2.212:5140
星空卫视SD,http://182.149.148.252:4022/rtp/239.94.2.54:5140
星空卫视SD,http://182.149.148.252:4022/rtp/239.94.2.53:5140
北京卫视4K,http://182.149.150.3:4022/rtp/239.94.0.111:5140
北京卫视4K,http://182.149.150.3:4022/rtp/239.94.0.112:5140
东方卫视4K,http://182.149.150.3:4022/rtp/239.94.0.119:5140
广东卫视4K,http://182.149.150.3:4022/rtp/239.94.0.114:5140
深圳卫视4K,http://182.149.150.3:4022/rtp/239.94.0.113:5140
湖南卫视4K,http://182.149.150.3:4022/rtp/239.94.0.116:5140
山东卫视4K,http://182.149.150.3:4022/rtp/239.94.0.120:5140
四川卫视4K,http://182.149.150.3:4022/rtp/239.94.0.115:5140
浙江卫视4K,http://182.149.150.3:4022/rtp/239.94.0.118:5140
江苏卫视4K,http://182.149.150.3:4022/rtp/239.94.0.117:5140
重庆卫视,http://182.149.150.3:4022/rtp/239.94.0.82:5140
江苏卫视,http://182.149.150.3:4022/rtp/239.94.0.62:5140
浙江卫视,http://182.149.150.3:4022/rtp/239.94.0.63:5140
东方卫视,http://182.149.150.3:4022/rtp/239.94.0.64:5140
深圳卫视,http://182.149.150.3:4022/rtp/239.94.0.66:5140
北京卫视,http://182.149.150.3:4022/rtp/239.94.0.65:5140
山东卫视,http://182.149.150.3:4022/rtp/239.94.0.69:5140
天津卫视,http://182.149.150.3:4022/rtp/239.94.0.68:5140
贵州卫视,http://182.149.150.3:4022/rtp/239.94.0.83:5140
四川卫视,http://182.149.150.3:4022/rtp/239.94.0.60:5140
四川卫视,http://182.149.150.3:4022/rtp/239.94.0.59:5140
云南卫视,http://182.149.150.3:4022/rtp/239.94.0.90:5140
广西卫视,http://182.149.150.3:4022/rtp/239.94.0.89:5140
黑龙江卫视,http://182.149.150.3:4022/rtp/239.94.0.81:5140
安徽卫视,http://182.149.150.3:4022/rtp/239.94.0.85:5140
江西卫视,http://182.149.150.3:4022/rtp/239.94.0.79:5140
湖北卫视,http://182.149.150.3:4022/rtp/239.94.0.84:5140
陕西卫视,http://182.149.150.3:4022/rtp/239.94.0.92:5140
东南卫视,http://182.149.150.3:4022/rtp/239.94.0.80:5140
吉林卫视,http://182.149.150.3:4022/rtp/239.94.0.91:5140
辽宁卫视,http://182.149.150.3:4022/rtp/239.94.0.101:5140
湖南卫视,http://182.149.150.3:4022/rtp/239.94.0.61:5140
广东卫视,http://182.149.150.3:4022/rtp/239.94.0.67:5140
河南卫视,http://182.149.150.3:4022/rtp/239.94.0.88:5140
河北卫视,http://182.149.150.3:4022/rtp/239.94.0.86:5140
宁夏卫视,http://182.149.150.3:4022/rtp/239.94.0.96:5140
甘肃卫视,http://182.149.150.3:4022/rtp/239.94.0.99:5140
新疆卫视,http://182.149.150.3:4022/rtp/239.94.0.98:5140
西藏卫视,http://182.149.150.3:4022/rtp/239.94.0.97:5140
兵团卫视,http://182.149.150.3:4022/rtp/239.94.0.102:5140
康巴卫视,http://182.149.150.3:4022/rtp/239.94.0.78:5140
九画面卫视1,http://182.149.150.3:4022/rtp/239.94.2.133:5140
九画面卫视1,http://182.149.150.3:4022/rtp/239.94.2.132:5140
九画面卫视2,http://182.149.150.3:4022/rtp/239.94.2.134:5140
九画面卫视2,http://182.149.150.3:4022/rtp/239.94.2.135:5140
九画面卫视3,http://182.149.150.3:4022/rtp/239.94.2.136:5140
九画面卫视3,http://182.149.150.3:4022/rtp/239.94.2.137:5140
九画面卫视4,http://182.149.150.3:4022/rtp/239.94.2.141:5140
九画面卫视4,http://182.149.150.3:4022/rtp/239.94.2.139:5140
九画面卫视5,http://182.149.150.3:4022/rtp/239.94.2.140:5140
